"","S1","S2","S3","S4","S5","S6","S8","S9"
"4732490B19Rik",2,0,0,7,2,2,8,2
"4732491K20Rik",3,2,4,6,2,1,2,3
"4732496C06Rik",114,41,38,52,83,106,146,68
"4831440D22Rik",52,51,36,34,35,30,34,15
"4833403J16Rik",24,14,13,18,10,14,10,15
"4833407H14Rik",945,720,230,657,300,984,765,268
"4833408A19Rik",58,56,30,25,20,18,43,23
"4833411C07Rik",32,24,23,16,16,28,22,20
"4833412C05Rik",1,6,3,0,2,0,0,0
"4833412K13Rik",5,5,11,2,4,9,4,0
"4833413E03Rik",0,0,0,3,8,2,0,0
"4833413G10Rik",64,71,44,32,48,74,48,35
"4833417C18Rik",34,20,6,12,2,16,12,6
"4833418N02Rik",152,80,36,43,62,152,129,46
"4833419F23Rik",53,26,18,33,37,70,46,40
"4833419O12Rik",3,0,0,6,0,0,2,0
"4833420G17Rik",1220,1088,756,586,693,1008,1154,488
"4833422C13Rik",4,4,18,5,1,6,3,2
"4833427F10Rik",63,25,26,36,19,47,68,12
"4833438C02Rik",384,286,229,230,272,390,347,224
"4833439L19Rik",3432,2104,1914,1982,1746,1715,1703,1607
"4833445I07Rik",34,18,30,32,20,20,30,12
"4921501I09Rik",30,10,28,20,14,15,12,8
"4921504E06Rik",0,0,12,10,5,0,4,4
"4921507G05Rik",3,3,10,7,0,3,4,3
"4921507P07Rik",15,0,11,5,5,1,3,0
"4921509O07Rik",6,15,2,13,0,7,6,1
"4921511C10Rik",5,3,0,1,3,2,3,4
"4921511I17Rik",16,8,9,9,8,6,5,4
"4921514A10Rik",326,213,180,205,181,138,193,111
"4921515L22Rik",2,0,0,7,0,8,3,0
"4921516A02Rik",956,840,801,546,582,570,436,496
"4921522P10Rik",4,0,0,2,0,5,2,0
"4921523L03Rik",0,2,0,4,0,0,4,0
"4921524J17Rik",422,335,310,284,260,263,326,240
"4921529L05Rik",16,13,8,8,9,0,6,12
"4921531C22Rik",94,104,78,52,51,83,61,38
"4921534A09Rik",1,5,0,3,0,4,4,7
"4921536K21Rik",3,8,7,16,5,4,0,2
"4922502D21Rik",6,2,0,5,1,0,0,1
"4930402H24Rik",1014,790,675,721,496,610,879,330
"4930403D09Rik",10,15,3,1,0,4,11,0
"4930403P22Rik",0,8,2,0,4,11,6,3
"4930404A12Rik",297,238,178,158,156,142,138,128
"4930404I05Rik",620,506,218,282,276,545,935,250
"4930404N11Rik",336,292,289,278,269,222,267,144
"4930405A21Rik",6,4,4,8,2,11,7,4
"4930405G09Rik",8,20,3,9,1,17,12,2
"4930405O22Rik",7,0,4,0,1,8,4,5
"4930407I10Rik",6,4,2,2,3,2,4,1
"4930412C18Rik",53,67,42,22,36,89,249,24
"4930412F12Rik",6,3,2,0,1,6,5,0
"4930412M03Rik",8,8,4,6,1,1,7,3
"4930413G21Rik",16,13,16,15,16,24,23,11
"4930414N06Rik",40,40,28,33,36,36,39,17
"4930415O11Rik",5,8,0,4,0,7,0,0
"4930417H01Rik",14,6,8,4,14,2,3,0
"4930417O13Rik",3,14,2,2,0,0,1,0
"4930422M22Rik",7,7,5,2,4,3,4,5
"4930423D22Rik",18,9,4,6,5,6,9,4
"4930426I24Rik",0,0,3,0,3,12,2,0
"4930426L09Rik",54,22,13,8,17,18,21,9
"4930428O21Rik",3,13,0,2,7,0,0,2
"4930429F24Rik",0,3,0,7,2,0,3,0
"4930430E12Rik",773,874,387,715,419,611,565,223
"4930430F08Rik",204,140,124,123,106,141,124,110
"4930431P03Rik",4,9,3,4,4,10,5,0
"4930431P19Rik",10,19,8,4,12,22,12,8
"4930432J09Rik",2,0,4,4,1,0,0,3
"4930432K21Rik",18,8,16,6,2,11,3,3
"4930438A08Rik",7,6,8,2,4,9,9,7
"4930439A04Rik",5,0,0,0,1,0,1,0
"4930440I19Rik",0,0,3,10,0,0,4,2
"4930442H23Rik",12,8,12,8,4,2,7,2
"4930444A19Rik",40,62,36,34,46,46,54,22
