"","S1","S2","S3","S4","S5","S6","S8","S9"
"Sec61b",7157,4094,3090,3280,1822,3269,4193,1850
"Sec61g",2286,1315,1024,1040,683,829,1119,711
"Sec62",8142,6795,4568,4700,3781,6244,4878,3602
"Sec63",4392,3163,2566,2444,1994,2626,2476,1750
"Secisbp2",1102,994,626,643,508,669,669,350
"Secisbp2l",3575,2933,2375,2299,2557,2952,2616,1868
"Sectm1a",122,158,55,19,265,24,74,112
"Seh1l",3304,2070,1549,1604,1392,1896,1726,1532
"Sel1l",5560,4353,3874,3338,3257,3244,3293,2414
"Sel1l3",122,101,136,144,67,27,62,39
"Sele",7,14,25,6,12,38,31,9
"Selenbp1",676,601,711,872,870,726,468,405
"Selenbp2",178,125,187,204,208,187,116,109
"Selenof",12055,8056,7206,6698,4623,6322,7222,5373
"Selenoh",949,793,657,612,371,488,512,438
"Selenoi",974,810,641,625,529,526,572,336
"Selenok",4522,2892,2183,2546,1864,2604,2723,1560
"Selenok-ps1",35,23,21,28,16,14,16,10
"Selenok-ps4",96,56,51,51,37,58,64,31
"Selenok-ps5",242,181,141,147,115,143,149,95
"Selenok-ps6",111,66,59,65,40,61,71,34
"Selenok-ps8",217,173,136,131,103,147,140,87
"Selenom",766,547,580,425,428,451,775,329
"Selenon",6463,4777,3402,5080,3934,5486,6658,2304
"Selenoo",597,474,414,356,314,306,372,208
"Selenop",40205,42715,69606,23184,33328,47666,47061,60494
"Selenos",3937,2350,1701,1781,1228,1899,1799,1054
"Selenot",8346,7100,4665,4228,4378,6172,4966,3946
"Selenot-ps",3,3,3,6,2,8,2,3
"Selenow",6690,4669,3664,3910,2504,2673,3764,2125
"Sell",9339,9823,4798,5894,8072,10443,11278,6190
"Selp",260,202,237,238,196,465,373,106
"Selplg",17265,15737,9584,12435,10636,12000,11551,7891
"Sem1",12354,8646,5630,6478,4054,7628,7248,4134
"Sema3a",37,15,54,72,26,2,34,1
"Sema3b",40,34,27,53,34,8,34,20
"Sema3c",216,135,292,291,236,42,207,78
"Sema3d",0,14,15,16,11,8,6,7
"Sema3e",48,19,62,103,46,12,43,34
"Sema3f",97,52,100,138,63,17,49,43
"Sema3g",14,27,11,11,4,0,5,8
"Sema4a",10292,7733,5479,6980,7091,5567,6775,3114
"Sema4b",1314,846,781,921,764,737,1100,580
"Sema4c",525,305,308,430,268,96,172,138
"Sema4d",8715,8073,4508,5955,6588,6730,6306,3210
"Sema4f",27,25,30,54,41,8,50,11
"Sema4g",37,45,64,73,41,26,49,6
"Sema5a",34,22,58,54,34,20,17,19
"Sema5b",10,2,8,0,0,0,0,0
"Sema6a",39,28,36,37,19,24,17,6
"Sema6b",1607,1456,734,1107,834,1197,1127,438
"Sema6c",14,9,34,10,15,8,13,15
"Sema6d",208,92,172,155,118,122,144,90
"Sema7a",7141,4598,4894,5022,5446,6133,13455,2666
"Senp1",1646,1291,920,872,898,864,851,604
"Senp2",2614,2207,1478,1704,1626,2379,2228,1066
"Senp3",3518,2052,1826,1856,1583,1558,2004,1128
"Senp5",2004,1268,1195,1090,1026,1017,1088,654
"Senp6",3184,2586,1752,1812,1774,2589,2242,1127
"Senp7",532,622,479,417,539,580,549,304
"Senp8",158,173,92,108,82,144,88,84
"Sephs1",1683,968,923,958,727,633,634,613
"Sephs2",1891,1637,1110,1300,1118,1639,1364,1005
"Sepsecs",792,468,456,409,291,297,302,212
"Sept1",1263,976,696,687,758,1255,1631,505
"Sept10",346,365,330,298,242,204,265,236
"Sept11",4120,2637,2762,2480,1688,2317,2658,1629
"Sept2",10968,7852,6714,5444,4988,6372,6353,5400
"Sept3",394,269,276,162,99,41,110,145
"Sept4",59,49,55,26,21,12,38,30
"Sept5",262,189,162,168,162,282,314,118
"Sept6",2481,1625,1286,976,851,1054,978,978
"Sept7",8792,6800,5064,4806,3712,5956,5954,3705
"Sept8",1954,1376,1790,1526,1169,1289,1274,1378
"Sept9",11051,7124,7084,6988,5728,4838,5496,4232
"Serac1",99,100,99,88,102,158,118,47
"Serbp1",21377,16371,12330,11970,8848,12445,10763,9204
"Serf1",480,291,256,263,99,250,185,112
"Serf2",12678,8324,6434,6678,4967,6566,6972,4527
"Sergef",397,318,226,238,168,216,198,88
"Serhl",758,557,466,448,412,438,447,328
"Serinc1",7718,5726,5133,4684,4281,5714,4802,4978
"Serinc2",79,38,107,101,40,7,57,39
"Serinc3",36772,38296,37374,21762,33001,30456,28014,38620
"Serinc4",906,672,632,543,449,552,585,384
"Serinc5",770,778,724,596,702,804,718,453
"Serp1",25454,20460,14632,11644,12508,16975,15538,13531
"Serp2",6,11,13,6,11,0,7,8
"Serpina10",23,26,65,26,38,0,16,2
"Serpina11",378,222,149,216,250,261,458,136
"Serpina1b",4,7,7,1,3,2,6,19
"Serpina3e-ps",4,5,6,6,19,1,11,2
"Serpina3f",40,137,56,20,315,48,133,164
"Serpina3g",711,1041,515,344,2085,196,1088,911
"Serpina3h",7,17,14,7,34,3,12,16
"Serpina3i",11,14,12,7,29,4,8,9
"Serpina3n",296,296,574,178,232,97,276,282
"Serpina6",0,0,1,0,3,0,0,0
"Serpina7",17,10,6,3,0,1,1,0
"Serpinb10",48,8,10,44,32,47,70,60
"Serpinb12",40,32,24,25,17,23,12,9
"Serpinb1a",552,336,524,579,217,283,349,261
"Serpinb1b",20,9,2,8,6,0,11,6
"Serpinb2",3217,2067,2000,2628,2402,4340,6578,1421
"Serpinb5",16,13,25,32,5,5,20,6
"Serpinb6a",2503,1978,3338,2793,1281,3820,3211,2338
"Serpinb6b",3796,1679,1833,2828,367,122,463,384
"Serpinb6c",2,2,2,2,0,3,0,0
"Serpinb7",10,0,0,0,0,2,0,0
"Serpinb8",640,526,533,461,491,483,492,520
"Serpinb9",3061,1344,1451,1821,500,379,611,608
"Serpinb9b",52,26,20,30,24,20,10,16
"Serpinc1",100,84,34,52,56,56,114,32
"Serpind1",132,76,29,85,55,291,115,48
"Serpine1",54424,27906,17312,42320,28358,49146,61214,18574
"Serpine2",361,274,355,279,133,121,188,134
"Serpine3",6,0,2,3,1,4,0,0
"Serpinf1",661,532,1025,548,276,202,565,403
"Serpinf2",9,19,4,16,2,11,21,10
"Serping1",487,539,1196,753,623,211,701,403
"Serpinh1",3407,2456,4865,4171,1070,681,3160,1238
"Serpini1",18,16,27,24,27,54,14,21
"Serpini2",6,24,71,24,55,9,42,81
"Sertad1",1078,891,590,832,693,581,762,389
"Sertad2",2006,1403,1053,1183,996,892,1138,582
"Sertad3",384,416,260,279,258,196,250,159
"Sertad4",18,21,50,16,7,7,20,21
"Sesn1",1774,2077,2129,1061,1075,1361,1318,1459
"Sesn2",2344,1495,1183,1679,1151,1297,1144,731
"Sesn3",394,565,452,376,493,248,307,272
"Sestd1",2120,1366,1462,1233,1224,898,1142,760
"Set",14021,9769,7630,7244,5151,6432,6200,4768
"Setbp1",55,43,24,46,32,14,29,37
"Setd1a",1128,896,714,730,764,744,718,401
"Setd1b",2429,2031,1284,1345,1445,1656,1562,887
"Setd2",3477,3097,2270,2259,2516,2529,2194,1345
"Setd3",3923,2826,2500,2220,2109,2436,2299,1292
"Setd4",99,46,53,66,33,67,148,47
"Setd5",3189,2631,1779,1967,1914,2343,2377,1370
"Setd6",385,229,182,152,139,99,156,109
"Setd7",2264,1965,1160,1398,1618,2252,2410,1088
"Setdb1",2542,2132,1806,1439,1638,1607,1698,904
"Setdb2",578,477,320,328,308,253,314,243
"Setmar",75,93,61,66,44,36,36,38
"Setx",1903,1963,1230,1386,1494,1481,1288,802
"Sez6l",0,3,6,10,0,0,3,0
"Sez6l2",35,42,28,46,32,62,42,2
"Sf1",12791,8964,6494,7654,6611,8842,8778,5028
"Sf3a1",4121,2689,2526,2199,2105,2037,1854,1689
"Sf3a2",2912,2148,1687,1792,1464,1860,1624,1434
"Sf3a3",2616,2014,1454,1469,1146,1436,1186,1060
"Sf3b1",20482,16038,11507,11845,11078,13765,14127,7096
"Sf3b2",10104,8096,6248,6141,5744,7597,6334,3930
"Sf3b3",7160,4756,3929,4081,3204,3118,3071,1907
"Sf3b4",2299,1521,1370,1396,1096,1108,1131,1026
"Sf3b5",2395,1623,1317,1368,926,1253,1199,733
"Sf3b6",5300,3865,2621,2534,1812,2933,2834,1677
"Sfi1",393,410,214,238,256,330,520,84
"Sfmbt1",774,567,587,558,388,466,497,284
"Sfmbt2",18,77,24,36,35,24,48,22
"Sfn",188,120,133,155,92,136,153,66
"Sfpq",14272,10886,8276,8013,7626,9187,8491,6609
"Sfr1",4650,3440,2864,2775,2272,2875,2938,2255
"Sfrp1",209,423,807,593,321,144,445,242
"Sfrp2",46,56,227,101,62,12,84,58
"Sfrp4",0,6,28,25,42,32,10,15
"Sfrp5",7,0,0,9,6,0,0,1
"Sfswap",2061,1468,1114,1106,1052,1327,1223,724
"Sft2d1",1931,1393,1124,1104,812,891,1180,618
"Sft2d2",6573,5928,4418,4481,4753,6992,5509,3288
"Sft2d3",123,81,77,67,66,79,79,49
"Sftpd",10,12,19,2,31,7,9,14
"Sfxn1",2045,1484,1010,1140,696,968,907,628
"Sfxn2",1138,826,590,620,416,692,574,364
"Sfxn3",3149,1722,1756,2110,1300,1491,1610,1277
"Sfxn4",41,15,24,28,14,28,28,18
"Sfxn5",1645,1968,720,1373,933,1116,1427,409
"Sgcb",625,439,478,340,283,267,400,299
"Sgcd",0,0,1,8,1,1,2,2
"Sgce",89,68,103,73,49,37,113,67
"Sgf29",649,434,425,351,313,410,365,300
"Sgip1",38,52,31,15,17,26,70,11
"Sgk1",5720,4645,2958,4661,5534,5126,5366,2554
"Sgk2",7,0,3,5,2,0,5,0
"Sgk3",4961,4411,2710,2262,2650,3798,2940,2083
"Sgms1",1450,1248,926,984,998,1459,1623,818
"Sgms2",376,139,227,461,229,323,564,255
"Sgo1",147,170,152,86,103,148,110,84
"Sgo2a",81,119,79,68,66,92,79,77
"Sgpl1",12030,9640,9092,8598,7528,6446,7264,4748
"Sgpp1",2196,1966,1879,1044,1710,2346,1596,2349
"Sgpp2",64,53,68,52,49,13,21,12
"Sgsh",520,675,722,420,572,392,384,372
"Sgsm1",0,10,0,6,2,1,4,2
"Sgsm2",301,223,187,169,159,175,226,75
"Sgsm3",444,230,313,262,258,238,198,123
"Sgta",2989,2195,1771,1910,1558,1836,1934,1503
"Sgtb",38,36,51,39,21,31,31,16
"Sh2b1",1459,1083,843,921,846,971,1135,508
"Sh2b2",2498,1397,1144,1846,1144,2167,1962,1222
"Sh2b3",4621,3519,2536,2618,2387,2197,2339,1957
"Sh2d1a",7,6,9,4,34,4,3,3
"Sh2d1b1",1124,1023,624,462,668,631,512,685
"Sh2d1b2",40,63,44,30,44,28,28,32
"Sh2d2a",34,37,19,39,182,8,33,87
"Sh2d3c",887,882,466,864,830,860,942,426
"Sh2d4a",115,99,156,103,73,22,49,34
"Sh2d4b",21,29,6,16,10,58,40,4
"Sh2d5",88,34,37,75,6,22,27,8
"Sh2d6",2,0,0,2,3,0,8,5
"Sh2d7",41,32,14,10,11,9,7,9
"Sh3bgr",4,0,2,1,2,0,5,0
"Sh3bgrl",13555,9152,6882,6192,4480,7825,5492,7154
"Sh3bgrl2",266,232,271,288,157,292,259,186
"Sh3bgrl3",27031,16600,13865,14399,10238,16117,12765,12701
"Sh3bp1",5245,3697,2680,2750,2869,3952,2933,2154
"Sh3bp2",3701,3221,1934,2449,2025,1732,2081,1038
"Sh3bp4",524,333,419,456,262,103,190,138
"Sh3bp5",895,896,755,821,584,732,822,507
"Sh3bp5l",649,482,436,399,383,363,347,207
"Sh3d19",358,544,582,458,412,216,306,275
"Sh3d21",150,140,54,43,38,49,33,38
"Sh3gl1",2122,1396,1408,1553,1200,1184,1314,1010
"Sh3gl3",9,13,5,2,1,2,1,1
"Sh3glb1",15527,11712,9369,9304,8123,10584,8619,9143
"Sh3glb2",882,518,562,521,388,448,598,382
"Sh3kbp1",7550,6048,5166,4716,4858,7150,6611,4764
"Sh3pxd2a",1299,1169,1073,982,756,619,767,407
"Sh3pxd2b",8065,5632,5443,5802,4854,3037,3062,2462
"Sh3rf1",310,319,314,314,239,155,155,98
"Sh3rf2",12,16,19,10,5,0,12,3
"Sh3rf3",0,2,8,0,0,0,0,0
"Sh3tc1",1050,1091,856,832,896,624,745,506
"Sh3tc2",3,2,9,7,0,2,2,4
"Sh3yl1",74,53,63,77,38,42,36,29
"Shank1",19,22,12,6,9,16,18,10
"Shank2",3,10,2,5,13,5,2,22
"Shank3",75,64,55,44,17,7,25,16
"Sharpin",2309,1798,1299,1231,1142,1444,1527,1119
"Shb",712,430,491,437,422,205,412,288
"Shc1",4311,2804,2350,2644,2215,2765,2262,1864
"Shc2",23,19,57,50,13,18,26,9
"Shc4",622,490,429,428,361,233,340,250
"Shcbp1",252,302,193,207,133,247,197,159
"Shcbp1l",67,45,34,30,26,52,98,51
"Shd",0,0,0,1,0,1,11,4
"She",49,42,25,14,14,22,26,6
"Shf",101,70,87,67,45,34,38,27
"Shfl",166,172,106,124,67,132,180,51
"Shisa2",3,0,9,2,1,17,6,4
"Shisa3",56,74,44,34,62,38,38,39
"Shisa4",41,34,65,52,24,29,41,29
"Shisa5",22670,15850,12657,14031,10936,9880,9403,8807
"Shisa6",13,6,13,4,24,0,6,0
"Shisa7",4,0,1,0,5,0,0,0
"Shisa9",0,0,0,0,3,12,1,0
"Shisal1",0,8,0,0,1,0,2,0
"Shkbp1",2270,1461,1042,1358,1054,1128,1357,731
"Shld1",234,232,165,141,153,182,220,73
"Shld2",260,257,126,101,160,123,161,103
"Shmt1",295,256,206,174,154,184,158,127
"Shmt2",2006,1152,1112,1110,751,896,908,782
"Shoc1",0,7,3,0,0,3,0,0
"Shoc2",2670,2003,1566,1776,1642,2008,2054,1292
"Shox2",26,7,16,15,4,4,0,11
"Shpk",71,81,54,51,76,53,71,52
"Shprh",740,658,561,414,488,498,415,265
"Shq1",273,168,150,155,123,80,138,62
"Shroom1",27,11,12,30,10,6,17,18
"Shroom2",7,0,16,14,14,9,9,12
"Shroom3",72,64,172,84,78,39,52,27
"Shroom4",51,25,46,45,20,3,10,10
"Shtn1",3432,2889,2463,1902,2915,2337,2058,2312
"Siae",1259,922,1057,781,820,639,678,679
"Siah1-ps2",14,11,8,14,9,9,13,9
"Siah1a",558,426,234,312,231,349,361,223
"Siah1b",59,73,49,46,44,44,93,28
"Siah2",1353,765,715,652,692,465,637,437
"Sidt1",11,8,7,6,46,0,7,20
"Sidt2",6453,4444,3888,4291,4547,4397,5150,2697
"Sigirr",201,188,173,188,98,63,113,47
"Siglec1",4865,5704,6039,4699,5107,2645,3025,3208
"Siglece",6307,5514,2174,3396,2692,6097,3635,2722
"Siglecf",7700,6162,2853,4182,4720,15022,8510,4982
"Siglecg",2270,1346,1092,991,936,2066,4616,766
"Siglech",16,21,11,14,24,5,9,4
"Sigmar1",2368,1628,1534,1240,1046,797,926,1012
"Sik1",7915,8273,3876,6292,7275,8042,9585,3357
"Sik2",504,426,282,277,380,346,558,181
"Sik3",3271,2240,1450,2258,1727,1960,1667,1021
"Sike1",1719,1082,880,895,662,890,1009,572
"Sil1",774,544,678,452,522,367,379,321
"Simc1",314,241,117,141,161,178,186,129
"Sin3a",2187,1882,1446,1344,1368,1888,1630,1044
"Sin3b",4651,2963,2550,2868,2172,2365,2458,1400
"Sinhcaf",901,543,483,479,231,340,296,184
"Sipa1",5955,5207,3456,3898,3435,4395,3567,2222
"Sipa1l1",1749,1449,1246,1366,1326,1001,1265,635
"Sipa1l2",1330,1595,806,1206,1002,1551,1584,556
"Sipa1l3",2009,1330,1269,1238,1369,1199,1291,634
"Sirpa",39641,32523,26253,25404,25906,25430,25388,15401
"Sirpb1a",3594,3554,1725,2133,2499,2446,2372,1664
"Sirpb1b",5969,5773,2683,3670,3847,4038,4204,2512
"Sirpb1c",8051,7048,3584,4612,5039,4648,5010,3065
"Sirt1",588,574,461,445,417,578,440,352
"Sirt2",4089,2697,2984,2784,2506,2554,2763,2432
"Sirt3",243,160,112,129,146,114,148,92
"Sirt4",128,82,82,60,48,48,76,28
"Sirt5",142,113,82,63,73,94,78,34
"Sirt6",532,386,296,339,315,377,344,192
"Sirt7",3772,2874,1656,1904,1782,2196,2414,1172
"Sit1",6,9,4,10,8,0,3,7
"Siva1",1107,737,516,582,382,554,618,306
"Six1",14,0,14,19,14,2,15,8
"Six4",2,0,6,3,11,5,0,6
"Six5",10,19,27,21,26,9,26,13
"Ska1",201,164,92,81,70,79,105,48
"Ska2",261,230,130,144,96,188,157,148
"Ska2l-ps",5,2,8,8,7,6,2,16
"Ska3",152,132,104,121,66,138,81,57
"Skap1",26,66,24,34,94,17,32,45
"Skap2",12594,10617,6167,6279,5534,8690,8066,4425
"Ski",10272,7909,5760,7267,6976,10266,7600,6020
"Skida1",0,0,1,0,2,3,5,1
"Skil",8612,8124,3687,6334,6266,10872,8326,3492
"Skint3",252,273,99,123,177,327,180,151
"Skiv2l",2566,1937,1504,1780,1285,1680,2091,702
"Skp1a",5194,3795,2922,2958,2043,2732,2826,1980
"Skp2",335,300,214,209,144,175,201,144
"Sla",13388,12528,6800,6028,7164,6579,6910,4250
"Sla2",1852,1313,1050,1078,815,1020,1048,708
"Slain1",128,80,82,70,135,158,123,66
"Slain1os",4,0,4,4,8,4,5,2
"Slain2",2858,1879,1586,1780,1633,1940,1796,1096
"Slamf1",67,45,32,33,28,13,16,19
"Slamf6",759,706,440,351,719,374,601,605
"Slamf7",866,1192,774,496,768,168,310,300
"Slamf8",2671,2027,1312,892,2912,469,1400,1231
"Slamf9",2926,2210,1389,1168,949,751,784,723
"Slbp",2701,1993,1406,1328,1149,1755,1468,956
"Slc10a1",28,22,5,10,28,33,57,16
"Slc10a2",0,2,0,9,0,0,0,0
"Slc10a3",886,636,544,486,434,410,385,489
"Slc10a6",10,12,34,9,14,25,13,25
"Slc10a7",887,819,576,478,555,557,544,438
"Slc11a1",14780,11253,6369,11073,7626,7692,11520,4264
"Slc11a2",782,554,596,501,511,338,466,321
"Slc12a2",362,302,397,397,288,99,245,192
"Slc12a3",7,0,0,1,2,0,12,0
"Slc12a4",1736,869,886,1010,670,400,651,318
"Slc12a5",37,40,23,28,21,69,91,27
"Slc12a6",3944,3645,2474,2300,2590,3682,3290,1834
"Slc12a7",2194,1830,1870,1616,1604,1194,1480,1153
"Slc12a8",20,13,38,30,26,17,9,13
"Slc12a9",1375,1247,958,776,1044,740,884,476
"Slc13a2",7,2,5,8,5,5,3,2
"Slc13a3",410,518,407,142,422,298,170,351
"Slc13a4",2,0,6,0,0,2,6,0
"Slc14a1",177,135,140,86,57,27,45,79
"Slc14a2",3,2,7,0,0,0,1,0
"Slc15a1",0,2,3,0,1,2,0,0
"Slc15a2",5,131,23,120,79,1177,10,98
"Slc15a3",15626,9604,6654,10949,7530,6524,8744,3602
"Slc15a4",1811,1442,1262,930,1208,846,914,810
"Slc16a1",1521,779,860,982,667,622,741,424
"Slc16a10",1743,1953,1587,1206,1376,1199,1105,1171
"Slc16a11",12,3,13,9,2,15,1,11
"Slc16a12",7,5,13,17,4,13,3,1
"Slc16a13",335,219,299,151,170,125,127,143
"Slc16a14",21,52,43,23,24,49,53,31
"Slc16a2",136,80,155,137,78,39,94,35
"Slc16a3",20580,11161,8204,16412,10335,14010,16154,5076
"Slc16a4",2,13,17,8,3,8,9,7
"Slc16a5",4,5,12,3,10,5,0,0
"Slc16a6",5164,4402,2590,3045,2976,6246,5216,2544
"Slc16a7",1058,1055,1058,596,673,646,731,754
"Slc16a9",14,8,14,20,3,18,4,10
"Slc17a1",0,6,0,0,0,3,2,1
"Slc17a4",0,0,3,2,0,0,6,2
"Slc17a5",707,524,766,476,442,525,616,501
"Slc17a6",0,10,3,0,0,0,6,0
"Slc17a7",8,3,0,5,2,11,7,5
"Slc17a8",8,12,15,0,3,6,3,3
"Slc17a9",216,165,104,105,81,151,186,63
"Slc18a1",13,9,16,14,16,12,6,15
"Slc18a2",126,98,53,75,68,75,88,74
"Slc18b1",50,35,47,52,15,25,23,29
"Slc19a1",243,200,202,151,140,107,130,78
"Slc19a2",261,224,170,208,203,301,209,117
"Slc1a1",3,6,4,0,5,0,0,0
"Slc1a2",4,3,8,9,10,0,26,0
"Slc1a3",10,10,9,19,6,1,11,8
"Slc1a4",74,43,105,105,69,22,47,68
"Slc1a5",3006,1427,1266,1456,991,1002,1471,618
"Slc1a7",0,0,0,0,0,8,0,0
"Slc20a1",3216,2366,1126,1932,1534,3166,2978,866
"Slc20a2",432,312,306,314,290,204,280,119
"Slc22a13",0,2,1,2,0,2,3,0
"Slc22a13b",14,2,1,6,1,0,4,0
"Slc22a15",765,762,352,579,490,946,758,360
"Slc22a17",37,28,18,19,17,20,46,10
"Slc22a18",31,29,54,42,39,10,30,17
"Slc22a20",6,12,4,22,6,16,9,1
"Slc22a21",126,70,82,79,75,44,66,44
"Slc22a23",232,142,191,201,70,28,77,51
"Slc22a3",0,0,0,1,3,7,0,4
"Slc22a4",88,27,41,86,28,44,34,14
"Slc22a5",304,264,290,206,231,198,224,174
"Slc23a1",13,9,10,4,2,9,39,3
"Slc23a2",1366,1085,1036,1035,1207,980,965,659
"Slc23a3",4,13,0,3,0,14,3,3
"Slc23a4",10,7,6,2,4,0,0,0
"Slc24a1",0,1,0,7,10,57,59,15
"Slc24a3",352,202,116,261,185,226,279,101
"Slc24a4",9,5,4,5,0,4,0,0
"Slc24a5",134,80,86,94,48,88,106,71
"Slc25a1",2206,1235,1136,1242,915,951,1097,824
"Slc25a10",1030,690,755,524,488,378,482,358
"Slc25a11",5490,3442,2886,3120,2314,2292,2444,1728
"Slc25a12",1982,1458,1115,1255,1100,984,1024,701
"Slc25a13",905,471,433,334,288,375,299,314
"Slc25a14",220,144,129,116,79,106,113,64
"Slc25a15",455,310,343,252,184,212,256,167
"Slc25a16",591,404,375,311,371,480,491,288
"Slc25a17",1610,1156,850,789,750,950,929,665
"Slc25a18",34,41,17,26,23,52,65,13
"Slc25a19",926,566,629,510,513,422,462,382
"Slc25a2",15,5,5,9,5,8,22,1
"Slc25a20",2934,1769,1273,1652,942,1094,1180,681
"Slc25a22",1403,957,661,809,597,487,599,392
"Slc25a23",283,220,277,189,136,142,138,244
"Slc25a24",2481,1768,1513,1774,1324,1777,1614,1263
"Slc25a25",1454,972,740,756,893,592,760,430
"Slc25a26",156,138,94,120,78,100,102,50
"Slc25a27",45,48,15,28,24,42,52,11
"Slc25a28",2409,1848,1006,1217,1034,1571,2020,532
"Slc25a29",23,19,26,37,11,15,6,3
"Slc25a3",19450,12311,9939,10778,9052,10738,11824,6310
"Slc25a30",1441,1223,1034,973,957,882,896,665
"Slc25a31",0,3,3,0,3,5,0,2
"Slc25a32",706,456,413,346,389,524,320,347
"Slc25a33",384,260,142,248,216,200,229,106
"Slc25a34",4,8,0,4,5,2,1,0
"Slc25a35",208,137,125,92,126,82,135,145
"Slc25a36",2176,2086,1294,1268,1224,2098,1778,1220
"Slc25a37",1619,1811,885,1211,982,1939,1961,737
"Slc25a38",902,726,407,438,335,578,481,230
"Slc25a39",3965,2439,2364,2267,1954,1885,2025,1461
"Slc25a4",4299,2652,2524,2404,1998,1910,2378,2003
"Slc25a40",218,202,122,118,108,174,105,65
"Slc25a42",110,84,57,50,43,87,67,34
"Slc25a43",132,79,62,62,44,48,41,40
"Slc25a44",1721,1123,1002,1025,949,1003,942,537
"Slc25a45",2478,1879,1422,1373,1534,1445,1580,1164
"Slc25a46",1828,1376,1042,978,919,1066,1027,936
"Slc25a47",31,9,9,11,3,10,12,0
"Slc25a48",0,1,5,1,0,0,0,4
"Slc25a5",18711,10789,9615,8799,8636,6368,8918,7369
"Slc25a5-ps",25,22,26,19,18,23,16,13
"Slc25a51",3316,2253,1960,1924,1503,2049,2006,1333
"Slc25a53",96,59,48,56,48,71,62,18
"Slc26a1",13,16,20,26,31,13,17,11
"Slc26a10",4447,2902,1947,2064,1601,3072,2100,1842
"Slc26a11",425,453,424,332,306,364,425,259
"Slc26a2",1904,1553,1185,1082,1214,1371,1201,834
"Slc26a6",368,261,198,179,189,96,164,115
"Slc26a8",1,0,0,4,0,2,5,1
"Slc26a9",37,35,61,28,33,34,40,12
"Slc27a1",1245,882,1027,1173,645,1012,1137,483
"Slc27a2",11,4,0,8,14,14,10,13
"Slc27a3",236,143,216,262,40,9,61,22
"Slc27a4",3210,2071,1623,2458,2046,2268,3013,1044
"Slc27a5",4,2,1,2,1,18,5,0
"Slc27a6",0,0,5,4,7,2,6,4
"Slc28a2",905,1264,817,671,1234,842,1108,670
"Slc28a3",11,4,12,0,6,20,9,1
"Slc29a1",2483,1684,1891,1414,1431,1108,1078,1206
"Slc29a2",125,83,98,99,100,75,121,69
"Slc29a3",4954,4628,3567,2725,4126,2870,2540,3243
"Slc29a4",3,6,1,0,2,1,8,6
"Slc2a1",15730,8805,5816,11621,8028,9518,8978,4483
"Slc2a10",3,18,18,10,6,0,15,5
"Slc2a12",76,77,62,55,52,92,63,46
"Slc2a13",7,8,16,18,3,5,11,12
"Slc2a3",3262,2174,1804,2839,2854,2634,3516,1135
"Slc2a4",0,0,3,1,0,5,3,10
"Slc2a4rg-ps",100,76,39,44,37,50,132,33
"Slc2a5",0,3,0,0,3,0,1,5
"Slc2a6",969,592,418,641,632,918,1094,466
"Slc2a8",382,263,315,225,247,172,184,174
"Slc2a9",294,368,256,284,290,212,234,202
"Slc30a1",848,706,571,470,804,368,444,468
"Slc30a2",10,4,14,7,4,5,11,1
"Slc30a4",1194,674,758,477,510,348,546,377
"Slc30a5",3123,2155,1775,1487,1375,1391,1396,1148
"Slc30a6",560,448,375,370,292,279,324,266
"Slc30a7",3294,1970,1560,1467,1655,1672,1508,1272
"Slc30a8",2,13,0,0,0,0,0,0
"Slc30a9",2788,1826,1503,1940,1388,1951,1912,786
"Slc31a1",3832,3170,2606,1987,2655,2260,2583,2362
"Slc31a2",1226,939,835,935,984,592,747,604
"Slc32a1",43,45,11,22,28,100,36,30
"Slc33a1",1353,829,732,600,581,400,506,396
"Slc34a1",6,0,0,1,0,0,1,0
"Slc34a2",0,0,0,2,2,0,1,0
"Slc35a1",738,520,469,403,301,396,406,283
"Slc35a2",1088,715,616,632,591,588,508,385
"Slc35a3",1992,1471,1184,1116,944,1413,1234,724
"Slc35a4",2500,1598,1426,1484,1204,1182,1178,1016
"Slc35a5",2172,1809,1314,1285,1358,2053,1401,1300
"Slc35b1",3328,1515,1460,1486,1067,1080,1312,994
"Slc35b2",1967,1416,1307,1164,946,1163,1530,853
"Slc35b3",670,535,376,382,281,432,522,158
"Slc35b4",2038,1178,1414,1076,1077,776,896,790
"Slc35c1",2793,1851,1620,1407,1638,1286,1167,1476
"Slc35c2",3250,2070,1541,1889,1323,1456,1565,1164
"Slc35d1",639,390,348,366,335,410,440,274
"Slc35d2",389,276,230,231,207,179,233,157
"Slc35e1",3721,2676,2248,2285,2097,2552,1970,1379
"Slc35e2",834,802,479,494,454,668,536,402
"Slc35e3",312,388,291,243,216,253,236,131
"Slc35e4",778,372,471,557,346,247,370,201
"Slc35f1",0,0,3,1,7,0,0,0
"Slc35f2",11,3,11,8,2,0,6,6
"Slc35f5",1128,902,954,643,745,587,696,588
"Slc35f6",2961,1904,1848,2004,1461,1378,1774,1312
"Slc35g1",155,124,124,64,92,70,72,83
"Slc35g2",33,10,17,19,5,7,23,7
"Slc35g3",2,4,0,0,0,0,3,0
"Slc36a1",2118,1942,1440,1374,1809,1530,1737,1224
"Slc36a2",10,28,26,12,32,32,31,22
"Slc36a3",166,74,34,42,61,104,78,52
"Slc36a3os",142,85,57,76,58,42,49,26
"Slc36a4",1152,705,747,643,794,808,802,522
"Slc37a1",426,439,249,272,324,395,389,188
